gid,gisjoin,total_pop,native_pop,forgn_pop,forgn_pct,res_tickets
712,G17003101006001,1090,846,244,0.22385,23
1306,G17003103302002,2929,2503,426,0.14544,1
923,G17003102214001,837,553,284,0.33931,1
1910,G17003101507001,1091,802,289,0.26489,22
952,G17003102433001,942,785,157,0.16667,1
977,G17003101908004,1693,1177,516,0.30478,1
376,G17003106117003,675,635,40,0.05926,2
879,G17003100204003,1908,1134,774,0.40566,839
1427,G17003100102022,1075,686,389,0.36186,198
515,G17003100106003,1455,1173,282,0.19381,55
2323,G17003107111002,951,951,0,0,1
2044,G17003100207023,1870,837,1033,0.55241,80
303,G17003105303004,1512,1512,0,0,2
1551,G17003105102003,1154,968,186,0.16118,2
1296,G17003104101002,1180,966,214,0.18136,12
1611,G17003101404005,1718,1080,638,0.37136,12
1131,G17003108398001,693,524,169,0.24387,1
165,G17003103206002,2376,1999,377,0.15867,1
21,G17003104008001,986,986,0,0,1
1729,G17003101603001,1734,1014,720,0.41522,44
570,G17003105603001,1817,1293,524,0.28839,17
281,G17003108400001,1901,1366,535,0.28143,2
1274,G17003100301023,1127,835,292,0.25909,52
822,G17003101002003,1488,1331,157,0.10551,5
896,G17003102203002,1027,942,85,0.08277,1
609,G17003108388002,2442,1937,505,0.2068,5
1553,G17003106305003,1432,697,735,0.51327,1
1486,G17003105805023,2193,1182,1011,0.46101,9
429,G17003108055022,808,797,11,0.01361,1
718,G17003106502003,1208,885,323,0.26738,2
694,G17003108307002,710,539,171,0.24085,124
1806,G17003101001005,1371,1072,299,0.21809,8
2153,G17003106606003,1189,942,247,0.20774,6
863,G17003101710002,1295,875,420,0.32432,11
1136,G17003101906023,1521,927,594,0.39053,1
1029,G17003105501003,1584,1284,300,0.18939,1
1776,G17003101906012,1062,581,481,0.45292,1
1575,G17003102105022,1964,1056,908,0.46232,6
530,G17003100205004,1344,583,761,0.56622,91
221,G17003104313013,1521,1468,53,0.03485,16
1405,G17003108391002,2033,1716,317,0.15593,2
2124,G17003108350004,1569,1314,255,0.16252,1
108,G17003104910001,600,600,0,0,1
643,G17003105611005,965,850,115,0.11917,8
65,G17003103108003,2295,1306,989,0.43094,3
1475,G17003108374002,1074,1055,19,0.01769,1
1885,G17003108421005,900,900,0,0,1
2326,G17003107112002,994,994,0,0,9
1017,G17003103901001,1386,1307,79,0.057,19
1832,G17003102205002,814,757,57,0.07002,1
2191,G17003106611002,850,778,72,0.08471,1
1978,G17003108364003,1023,980,43,0.04203,19
358,G17003104603022,660,564,96,0.14545,2
1181,G17003100631001,1344,1209,135,0.10045,4
941,G17003104303002,601,601,0,0,1
